-2 -1 -1 00
0 0 0 0 0 1
0 0 1 85.7 67 1 0
1 0 1 68.2 67 1 0
2 0 1 66.1 67 1 0
3 0 1 56 67 1 0
4 0 1 79.9 67 1 0
5 0 1 62.1 67 1 0
6 0 1 92.6 67 1 0
7 0 1 73.2 67 1 0
8 0 1 71.8 67 1 0
9 0 1 76 67 1 0
1 0 0 0 0 1
0 1 1 69.2 67 1 0
1 1 1 82.4 67 1 0
2 1 1 53.5 67 1 0
3 1 1 78.4 67 1 0
4 1 1 90 67 1 0
5 1 1 76.1 67 1 0
6 1 1 60.3 67 1 0
7 1 1 86.2 67 1 0
8 1 1 59.6 67 1 0
9 1 1 65.7 67 1 0
2 0 0 0 0 0
0 2 2 76.7 67 1 0
1 2 2 69.1 67 1 0
2 2 2 70.7 67 1 0
3 2 2 63 67 1 0
4 2 3 60.8 67 1 0
5 2 2 69.6 67 1 0
6 2 3 72.6 67 1 0
7 2 3 58.9 67 1 0
8 2 2 89.2 67 1 0
9 2 2 86.2 67 1 0
3 0 0 0 0 1
0 3 1 77.5 67 1 0
1 3 1 59.6 67 1 0
2 3 1 72.3 67 1 0
3 3 1 70.1 67 1 0
4 3 1 76.7 67 1 0
5 3 1 79.6 67 1 0
6 3 1 81.1 67 1 0
7 3 1 84.2 67 1 0
8 3 1 75.1 67 1 0
9 3 1 61 67 1 0
4 0 0 0 0 0
0 4 3 65.9 67 1 0
1 4 3 75.1 67 1 0
2 4 2 84.1 67 1 0
3 4 2 64.9 67 1 0
4 4 3 58.6 67 1 0
5 4 3 72.4 67 1 0
6 4 3 72.2 67 1 0
7 4 3 83.4 67 1 0
8 4 3 64.2 67 1 0
9 4 2 119.4 157 1 0
5 0 0 0 0 0
0 5 2 82.1 67 1 0
1 5 3 65.3 67 1 0
2 5 3 57.5 67 1 0
3 5 3 83.6 67 1 0
4 5 2 55.3 67 1 0
5 5 3 83.4 67 1 0
6 5 3 62.7 67 1 0
7 5 3 72.6 67 1 0
